time,open,high,low,close,volume
2024-03-18 15:05:00+00:00,1.08869,1.08877,1.08859,1.08866,558
2024-03-18 15:10:00+00:00,1.08866,1.0889,1.08865,1.08876,711
2024-03-18 15:15:00+00:00,1.08876,1.08889,1.08871,1.08878,601
2024-03-18 15:20:00+00:00,1.08878,1.08882,1.0887,1.08871,712
2024-03-18 15:25:00+00:00,1.08871,1.08881,1.08858,1.08881,923
2024-03-18 15:30:00+00:00,1.08881,1.08886,1.08864,1.08867,701
2024-03-18 15:35:00+00:00,1.08867,1.08867,1.08815,1.0883,645
2024-03-18 15:40:00+00:00,1.0883,1.08836,1.08815,1.08826,862
2024-03-18 15:45:00+00:00,1.08826,1.08836,1.0881,1.08811,623
2024-03-18 15:50:00+00:00,1.08811,1.08844,1.0881,1.08837,1085
2024-03-18 15:55:00+00:00,1.08837,1.08869,1.08836,1.08852,1079
2024-03-18 16:00:00+00:00,1.08852,1.08853,1.08791,1.08802,1473
2024-03-18 16:05:00+00:00,1.08802,1.08808,1.08768,1.08771,730
2024-03-18 16:10:00+00:00,1.08771,1.08793,1.0877,1.08774,836
2024-03-18 16:15:00+00:00,1.08774,1.08776,1.08729,1.08743,1333
2024-03-18 16:20:00+00:00,1.08743,1.08749,1.08711,1.08711,949
2024-03-18 16:25:00+00:00,1.08711,1.08724,1.08694,1.08713,675
2024-03-18 16:30:00+00:00,1.08713,1.08723,1.08694,1.08695,774
2024-03-18 16:35:00+00:00,1.08695,1.08721,1.08695,1.08709,791
2024-03-18 16:40:00+00:00,1.08709,1.08729,1.08703,1.0872,595
2024-03-18 16:45:00+00:00,1.0872,1.08731,1.08709,1.08726,633
2024-03-18 16:50:00+00:00,1.08726,1.0874,1.08726,1.0874,409
2024-03-18 16:55:00+00:00,1.0874,1.08743,1.08722,1.08723,445
2024-03-18 17:00:00+00:00,1.08723,1.08752,1.08715,1.08723,774
2024-03-18 17:05:00+00:00,1.08723,1.08744,1.0872,1.08731,1113
2024-03-18 17:10:00+00:00,1.08731,1.08739,1.08717,1.08722,737
2024-03-18 17:15:00+00:00,1.08722,1.08725,1.087,1.087,563
2024-03-18 17:20:00+00:00,1.087,1.08712,1.08695,1.08709,557
2024-03-18 17:25:00+00:00,1.08709,1.08724,1.08706,1.08722,464
2024-03-18 17:30:00+00:00,1.08722,1.08731,1.08713,1.08717,385
2024-03-18 17:35:00+00:00,1.08717,1.08721,1.08685,1.08693,499
2024-03-18 17:40:00+00:00,1.08693,1.08696,1.08667,1.08671,377
2024-03-18 17:45:00+00:00,1.08671,1.08677,1.0866,1.08676,263
2024-03-18 17:50:00+00:00,1.08676,1.0869,1.08676,1.0869,220
2024-03-18 17:55:00+00:00,1.0869,1.08692,1.08678,1.08685,287
2024-03-18 18:00:00+00:00,1.08685,1.08691,1.08674,1.08679,318
2024-03-18 18:05:00+00:00,1.08679,1.08685,1.08673,1.08679,370
2024-03-18 18:10:00+00:00,1.08679,1.08697,1.08679,1.08689,456
2024-03-18 18:15:00+00:00,1.08689,1.0869,1.08675,1.08681,326
2024-03-18 18:20:00+00:00,1.08681,1.08691,1.08676,1.08683,320
2024-03-18 18:25:00+00:00,1.08683,1.08701,1.08682,1.08701,172
2024-03-18 18:30:00+00:00,1.08701,1.08707,1.08698,1.08701,425
2024-03-18 18:35:00+00:00,1.08701,1.08703,1.08691,1.08693,422
2024-03-18 18:40:00+00:00,1.08693,1.08699,1.08687,1.08694,285
2024-03-18 18:45:00+00:00,1.08694,1.08708,1.08693,1.08704,382
2024-03-18 18:50:00+00:00,1.08704,1.0871,1.08701,1.08701,144
2024-03-18 18:55:00+00:00,1.08701,1.0871,1.08692,1.0871,497
2024-03-18 19:00:00+00:00,1.0871,1.08725,1.08707,1.08713,377
2024-03-18 19:05:00+00:00,1.08713,1.08733,1.08712,1.08721,399
2024-03-18 19:10:00+00:00,1.08721,1.0873,1.08717,1.08724,284
2024-03-18 19:15:00+00:00,1.08724,1.0873,1.08721,1.08726,309
2024-03-18 19:20:00+00:00,1.08726,1.08728,1.08718,1.08722,279
2024-03-18 19:25:00+00:00,1.08722,1.08727,1.08715,1.08715,460
2024-03-18 19:30:00+00:00,1.08715,1.08728,1.08713,1.08722,313
2024-03-18 19:35:00+00:00,1.08722,1.08723,1.08719,1.0872,298
2024-03-18 19:40:00+00:00,1.0872,1.08722,1.0871,1.08717,349
2024-03-18 19:45:00+00:00,1.08717,1.08717,1.08703,1.08704,246
2024-03-18 19:50:00+00:00,1.08704,1.08704,1.08679,1.08681,402
2024-03-18 19:55:00+00:00,1.08681,1.08697,1.08675,1.08692,504
2024-03-18 20:00:00+00:00,1.08692,1.087,1.08691,1.08697,389
2024-03-18 20:05:00+00:00,1.08697,1.08701,1.08693,1.087,150
2024-03-18 20:10:00+00:00,1.087,1.0871,1.08699,1.08703,134
2024-03-18 20:15:00+00:00,1.08703,1.08705,1.08702,1.08705,180
2024-03-18 20:20:00+00:00,1.08705,1.08706,1.087,1.08706,118
2024-03-18 20:25:00+00:00,1.08706,1.0871,1.08703,1.08707,98
2024-03-18 20:30:00+00:00,1.08707,1.08712,1.08706,1.0871,83
2024-03-18 20:35:00+00:00,1.0871,1.0871,1.08696,1.08697,79
2024-03-18 20:40:00+00:00,1.08697,1.08709,1.08697,1.08706,175
2024-03-18 20:45:00+00:00,1.08706,1.08713,1.08706,1.08712,127
2024-03-18 20:50:00+00:00,1.08712,1.08719,1.08712,1.08717,90
2024-03-18 20:55:00+00:00,1.08717,1.08724,1.08715,1.08722,418
2024-03-18 21:00:00+00:00,1.08722,1.08722,1.08704,1.08722,13
2024-03-18 21:05:00+00:00,1.08722,1.08732,1.08722,1.08729,103
2024-03-18 21:10:00+00:00,1.08729,1.08733,1.08719,1.08728,42
2024-03-18 21:15:00+00:00,1.08728,1.0874,1.08713,1.0874,62
2024-03-18 21:20:00+00:00,1.0874,1.0874,1.08722,1.0873,19
2024-03-18 21:25:00+00:00,1.0873,1.08732,1.08728,1.08728,6
2024-03-18 21:30:00+00:00,1.08728,1.0873,1.08721,1.08726,590
2024-03-18 21:35:00+00:00,1.08726,1.0873,1.08722,1.08725,460
2024-03-18 21:40:00+00:00,1.08725,1.08733,1.08724,1.08733,1116
2024-03-18 21:45:00+00:00,1.08733,1.08734,1.08721,1.08733,467
2024-03-18 21:50:00+00:00,1.08733,1.08735,1.08731,1.08731,171
2024-03-18 21:55:00+00:00,1.08731,1.08735,1.08722,1.08731,146
2024-03-18 22:00:00+00:00,1.08731,1.08733,1.0871,1.08727,182
2024-03-18 22:05:00+00:00,1.08727,1.08734,1.08726,1.08732,68
2024-03-18 22:10:00+00:00,1.08732,1.08738,1.08731,1.08737,76
2024-03-18 22:15:00+00:00,1.08737,1.08739,1.08733,1.08737,47
2024-03-18 22:20:00+00:00,1.08737,1.08738,1.08736,1.08738,36
2024-03-18 22:25:00+00:00,1.08738,1.08739,1.08737,1.08737,35
2024-03-18 22:30:00+00:00,1.08737,1.08738,1.08727,1.08727,72
2024-03-18 22:35:00+00:00,1.08727,1.08729,1.08721,1.08722,162
2024-03-18 22:40:00+00:00,1.08722,1.08728,1.08722,1.08722,126
2024-03-18 22:45:00+00:00,1.08722,1.08728,1.08712,1.08713,120
2024-03-18 22:50:00+00:00,1.08713,1.08719,1.08712,1.08719,115
2024-03-18 22:55:00+00:00,1.08719,1.08723,1.08716,1.08719,103
2024-03-18 23:00:00+00:00,1.08719,1.08723,1.08713,1.08717,230
2024-03-18 23:05:00+00:00,1.08717,1.08719,1.08712,1.08713,206
2024-03-18 23:10:00+00:00,1.08713,1.08719,1.08712,1.08718,186
2024-03-18 23:15:00+00:00,1.08718,1.08722,1.08713,1.08722,136
2024-03-18 23:20:00+00:00,1.08722,1.08725,1.08719,1.08723,118
2024-03-18 23:25:00+00:00,1.08723,1.08724,1.08718,1.08718,108
2024-03-18 23:30:00+00:00,1.08718,1.08724,1.08713,1.08723,164
2024-03-18 23:35:00+00:00,1.08723,1.08726,1.08719,1.08724,155
2024-03-18 23:40:00+00:00,1.08724,1.08727,1.08718,1.08724,196
2024-03-18 23:45:00+00:00,1.08724,1.08725,1.08723,1.08724,38
2024-03-18 23:50:00+00:00,1.08724,1.08735,1.08723,1.08731,216
2024-03-18 23:55:00+00:00,1.08731,1.08735,1.08728,1.08734,291
2024-03-19 00:00:00+00:00,1.08734,1.08738,1.08712,1.08713,552
2024-03-19 00:05:00+00:00,1.08713,1.08728,1.08705,1.08723,334
2024-03-19 00:10:00+00:00,1.08723,1.08742,1.08713,1.08741,386
